2026-06-04T23:46:43.734401|api||question|come posso arrivare a gemona partendo da udine|16421.51|granite4:3b
2026-06-04T23:48:54.795232|g|None|login|web:modal||
2026-06-04T23:48:59.444044|g|session_1780609739431|question|come posso arrivare a gemona partendo da udine||
2026-06-04T23:49:17.263900|api||question|come posso arrivare a gemona partendo da udine|17804.34|granite4:3b
2026-06-04T23:54:44.286608|g|None|login|web:modal||
2026-06-04T23:54:49.557521|g|session_1780610089545|question|come posso arrivare a gemona partendo da udine||
2026-06-04T23:55:08.062433|api||question|come posso arrivare a gemona partendo da udine|18489.08|granite4:3b
2026-06-05T00:00:31.649925|g|None|login|web:modal||
2026-06-05T00:00:40.206864|g|session_1780610440194|question|ciao, cosa sai fare?||
2026-06-05T00:00:58.510441|api||question|ciao, cosa sai fare?|18288.34|granite4:3b
2026-06-05T00:02:15.598462|g|session_1780610440194|question|come posso arrivare a gemona partendo da udine||
2026-06-05T00:02:19.020266|api||question|come posso arrivare a gemona partendo da udine|3406.31|granite4:3b
2026-06-05T00:02:39.624032|g|session_1780610440194|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T00:02:41.192461|api||question|come posso arrivare a gemona del friuli partendo d|1553.53|granite4:3b
2026-06-05T00:03:37.995231|g|session_1780610440194|question|come posso arrivare a gemona del friuli, via Roma (autostazione),  partendo da udine?||
2026-06-05T00:03:39.588047|api||question|come posso arrivare a gemona del friuli, via Roma |1578.43|granite4:3b
2026-06-05T00:06:35.491128|g|None|login|web:modal||
2026-06-05T00:06:41.192573|g|session_1780610440194|question|come posso arrivare a gemona del friuli, via Roma (autostazione),  partendo da udine?||
2026-06-05T00:07:03.771520|api||question|come posso arrivare a gemona del friuli, via Roma |22564.11|granite4:3b
2026-06-05T00:22:41.675981|g|None|login|web:modal||
2026-06-05T00:22:47.015783|g|session_1780610440194|question|come posso arrivare a gemona del friuli, via Roma (autostazione),  partendo da udine?||
2026-06-05T00:22:47.062053|api||question|come posso arrivare a gemona del friuli, via Roma |31.51|granite4:3b
2026-06-05T00:32:34.863896|g|None|login|web:modal||
2026-06-05T00:32:44.506079|g|session_1780610440194|question|come posso arrivare a gemona del friuli, via Roma (autostazione),  partendo da udine?||
2026-06-05T00:33:07.161016|api||question|come posso arrivare a gemona del friuli, via Roma |22639.53|granite4:3b
2026-06-05T00:38:33.564255|g|None|login|web:modal||
2026-06-05T00:38:37.946374|g|session_1780610440194|question|come posso arrivare a gemona del friuli, via Roma (autostazione),  partendo da udine?||
2026-06-05T00:38:38.681657|api||question|come posso arrivare a gemona del friuli, via Roma |718.31|granite4:3b
2026-06-05T00:39:18.204742|g|session_1780610440194|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T00:39:18.864923|api||question|come posso arrivare a gemona del friuli partendo d|645.1|granite4:3b
2026-06-05T00:39:43.671833|g|session_1780610440194|question|e da udine a cividale||
2026-06-05T00:39:44.829059|api||question|e da udine a cividale|1142.55|granite4:3b
2026-06-05T00:39:59.668755|g|session_1780610440194|question|come posso arrivare a cividale partendo da udine?||
2026-06-05T00:40:00.831492|api||question|come posso arrivare a cividale partendo da udine?|1147.4|granite4:3b
2026-06-05T00:41:30.611312|g|session_1780610440194|question|come posso arrivare a premariacco partendo da udine?||
2026-06-05T00:41:32.308983|api||question|come posso arrivare a premariacco partendo da udin|1683.46|granite4:3b
2026-06-05T00:41:43.449251|g|session_1780610440194|question|come posso arrivare a tavagnacco partendo da udine?||
2026-06-05T00:41:44.054848|api||question|come posso arrivare a tavagnacco partendo da udine|590.67|granite4:3b
2026-06-05T00:41:53.101086|g|session_1780610440194|question|come posso arrivare a tolmezzo partendo da udine?||
2026-06-05T00:41:53.614790|api||question|come posso arrivare a tolmezzo partendo da udine?|499.4|granite4:3b
2026-06-05T00:42:01.950639|g|session_1780610440194|question|da gemona a tolmezzo?||
2026-06-05T00:42:02.633323|api||question|da gemona a tolmezzo?|667.97|granite4:3b
2026-06-05T00:42:22.208257|g|session_1780610440194|question|ciao, cosa sai fare?||
2026-06-05T00:42:40.656871|api||question|ciao, cosa sai fare?|18431.63|granite4:3b
2026-06-05T00:47:59.808329|g|None|login|web:modal||
2026-06-05T00:48:10.917812|g|session_1780610440194|question|ciao, cosa sai fare?||
2026-06-05T00:48:30.085423|api||question|ciao, cosa sai fare?|19152.09|granite4:3b
2026-06-05T01:10:38.311334|g|None|login|web:modal||
2026-06-05T01:10:43.862995|g|session_1780610440194|question|ciao, cosa sai fare?||
2026-06-05T01:11:02.373319|api||question|ciao, cosa sai fare?|18494.8|granite4:3b
2026-06-05T01:53:34.190133|g|None|login|web:modal||
2026-06-05T01:53:47.333020|g|session_1780617227328|question|come posso arrivare a gemona partendo da udine?||
2026-06-05T01:57:07.791675|api||question|come posso arrivare a gemona partendo da udine?|200445.25|granite4:3b
2026-06-05T01:57:48.176745|g|None|login|web:modal||
2026-06-05T01:58:02.677537|g|session_1780617482672|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T02:01:35.471508|api||question|come posso arrivare a gemona del friuli partendo d|212778.49|granite4:3b
2026-06-05T02:22:01.191097|g|None|login|web:modal||
2026-06-05T02:22:07.181441|g|session_1780618927174|question|posso portare il cane?||
2026-06-05T02:24:59.765474|api||question|posso portare il cane?|172575.24|granite4:3b
2026-06-05T02:25:43.227737|g|session_1780618927174|question|come posso arrivare a gemona del friuli partendo da udine?||
